序號,縣市,測站,監測日期,監測時間,污染物,污染程度,PSI值,二氧化硫(ppb),一氧化碳(ppm),臭氧(ppb),懸浮微粒(μg/m3),細懸浮微粒(μg/m3),二氧化氮(ppb),風速(m/sec),AQI值,臭氧8小時移動平均(ppb),氮氧化物(ppb)(NOx),一氧化氮(ppb)(NO),風向(degrees),一氧化碳8小時移動平均(ppb),懸浮微粒移動平均值(μg/m3),細懸浮微粒移動平均值(μg/m3)
1,臺北市,古亭,2019/12/31,23時,,良好,,1.5,0.27,33,28,10,7.9,1.5,43,29,8,0,83,0,24,13
2,臺北市,古亭,2019/12/31,22時,,良好,,1.4,0.25,36,23,11,7.3,2,46,28,7,0,82,0,23,14
3,臺北市,古亭,2019/12/31,21時,,良好,,1.6,0.24,38,22,10,7.9,2.8,49,27,9,1,81,0,24,15
4,臺北市,古亭,2019/12/31,20時,細懸浮微粒,普通,,2,0.32,31,21,15,14,2.4,53,26,14,1,68,0,25,16
5,臺北市,古亭,2019/12/31,19時,細懸浮微粒,普通,,2.8,0.41,26,25,18,19,2.2,53,26,20,1,82,0,25,16
6,臺北市,古亭,2019/12/31,18時,細懸浮微粒,普通,,3.3,0.45,25,32,18,21,1.6,52,26,23,2,84,0,25,16
7,臺北市,古亭,2019/12/31,17時,,良好,,,,,,,,,49,26,,,,1,23,15
8,臺北市,古亭,2019/12/31,17時,,良好,,2.5,0.45,23,32,20,22,1.7,49,26,24,2,71,1,23,15
9,臺北市,古亭,2019/12/31,16時,,良好,,2.3,0.42,22,31,19,20,1.9,45,26,22,2,70,1,20,14
10,臺北市,古亭,2019/12/31,15時,,良好,,2.4,0.46,24,28,16,20,1.9,39,27,22,3,69,1,17,12
11,臺北市,古亭,2019/12/31,14時,,良好,,2.1,0.45,28,24,16,17,2.1,35,28,19,2,75,1,14,11
12,臺北市,古亭,2019/12/31,13時,,良好,,2,0.46,29,19,16,15,2.4,30,30,17,2,54,1,12,9
13,臺北市,古亭,2019/12/31,12時,,良好,,1.8,0.46,28,16,11,16,2.7,30,32,18,2,72,1,10,8
14,臺北市,古亭,2019/12/31,11時,,良好,,1.7,0.44,30,11,10,15,1.4,31,34,17,2,52,0,9,7
15,臺北市,古亭,2019/12/31,10時,,良好,,1.7,0.5,28,15,8,18,1.6,33,36,20,2,60,0,8,7
16,臺北市,古亭,2019/12/31,09時,,良好,,1.7,0.6,23,8,8,20,1.4,34,37,23,3,61,0,6,6
17,臺北市,古亭,2019/12/31,08時,,良好,,1.7,0.57,24,13,9,20,1,36,39,21,1,104,0,6,5
18,臺北市,古亭,2019/12/31,07時,,良好,,1.6,0.41,36,7,8,12,1.1,37,40,12,0,76,0,5,4
19,臺北市,古亭,2019/12/31,06時,,良好,,1.5,0.37,44,4,6,5.6,1.3,36,39,6,0,60,0,5,3
20,臺北市,古亭,2019/12/31,05時,,良好,,1.4,0.36,46,2,2,5,1.7,33,36,5,0,60,0,5,3
21,臺北市,古亭,2019/12/31,04時,,良好,,1.5,0.34,44,2,2,5.3,1.9,30,32,6,0,48,0,6,3
22,臺北市,古亭,2019/12/31,03時,,良好,,1.5,0.32,43,4,3,5.5,1.6,25,27,6,0,91,1,6,4
23,臺北市,古亭,2019/12/31,02時,,良好,,1.7,0.31,41,7,2,5.7,1.5,20,22,6,0,58,1,7,4
24,臺北市,古亭,2019/12/31,01時,,良好,,0.9,0.38,36,5,2,7.4,1.6,17,18,9,1,56,1,7,5
25,臺北市,古亭,2019/12/31,00時,,良好,,0.1,0.45,32,3,4,11,1.2,16,14,13,2,110,1,8,5
26,臺北市,古亭,2019/12/30,23時,,良好,,0.3,0.52,28,5,5,14,1,17,11,16,2,178,1,10,5
27,臺北市,古亭,2019/12/30,22時,,良好,,0.5,0.61,19,8,4,18,1.4,17,9,21,3,51,1,10,5
28,臺北市,古亭,2019/12/30,21時,,良好,,0.8,0.62,13,8,3,25,1.7,24,8,29,3,64,1,10,6
29,臺北市,古亭,2019/12/30,20時,,良好,,1,0.67,7.4,13,3,30,1.1,28,7,37,7,57,1,12,6
30,臺北市,古亭,2019/12/30,19時,,良好,,1,0.81,2.5,9,4,36,0.5,34,7,53,17,199,1,11,7
31,臺北市,古亭,2019/12/30,18時,,良好,,0.9,0.68,4.8,9,6,33,0.9,31,7,40,8,60,1,13,8
32,臺北市,古亭,2019/12/30,17時,,良好,,1.2,0.49,6.9,15,7,28,1,26,7,36,7,307,1,14,8
33,臺北市,古亭,2019/12/30,16時,,良好,,1.3,0.58,8.3,13,7,34,1.8,32,7,45,11,342,1,14,8
34,臺北市,古亭,2019/12/30,15時,,良好,,1.6,0.75,6.5,21,9,38,1,36,6,59,20,47,1,16,9
35,臺北市,古亭,2019/12/30,14時,,良好,,1.6,0.59,14,12,9,28,0.6,27,6,41,13,126,1,14,8
36,臺北市,古亭,2019/12/30,13時,,良好,,2.2,0.74,6.6,18,8,33,1.1,31,4,54,21,344,1,14,8
37,臺北市,古亭,2019/12/30,12時,,良好,,2.9,1.57,3.6,27,17,45,0.7,42,4,107,62,337,1,13,8
38,臺北市,古亭,2019/12/30,11時,,良好,,1.6,0.88,4.2,16,7,29,1.1,27,5,62,33,230,1,9,5
39,臺北市,古亭,2019/12/30,10時,,良好,,1.5,0.82,4.8,10,8,30,0.5,28,5,54,25,332,1,8,5
40,臺北市,古亭,2019/12/30,09時,,良好,,1.3,1.09,4.2,14,4,33,1.4,31,7,63,30,139,1,7,5
41,臺北市,古亭,2019/12/30,08時,,良好,,0.9,0.59,5.9,9,4,26,0.5,25,8,42,16,134,1,6,6
42,臺北市,古亭,2019/12/30,07時,,良好,,1.2,0.41,4.2,7,6,18,0.6,22,7,27,9,194,1,7,7
43,臺北市,古亭,2019/12/30,06時,,良好,,1.5,0.63,2,9,7,22,1.1,22,7,37,15,100,1,8,7
44,臺北市,古亭,2019/12/30,05時,,良好,,0.7,0.42,6.2,5,2,17,0.7,23,7,20,3,262,1,9,7
45,臺北市,古亭,2019/12/30,04時,,良好,,0.6,0.44,5.4,5,4,19,0.5,27,7,23,4,195,1,9,8
46,臺北市,古亭,2019/12/30,03時,,良好,,0.5,0.39,9.6,5,3,17,0.5,27,6,19,2,318,1,10,8
47,臺北市,古亭,2019/12/30,02時,,良好,,0.7,0.28,20,6,5,11,0.7,30,5,12,2,302,1,11,9
48,臺北市,古亭,2019/12/30,01時,,良好,,1.9,0.56,9.4,8,8,25,1,33,3,37,12,89,1,13,10
49,臺北市,古亭,2019/12/30,00時,,良好,,2.7,0.63,2.3,10,3,29,0.4,41,3,44,14,206,1,16,13
50,臺北市,古亭,2019/12/29,23時,細懸浮微粒,普通,,3,0.51,3.1,3,6,28,0.6,52,3,36,7,262,1,18,16
51,臺北市,古亭,2019/12/29,22時,細懸浮微粒,普通,,4.1,0.94,2,16,12,30,1.6,56,3,73,44,63,1,20,17
52,臺北市,古亭,2019/12/29,21時,細懸浮微粒,普通,,4.7,1.67,2.2,24,25,34,0.4,57,4,128,94,190,1,20,18
53,臺北市,古亭,2019/12/29,20時,,良好,,4.3,1.68,2.4,27,27,35,0.4,50,5,122,87,81,1,19,15
54,臺北市,古亭,2019/12/29,19時,,良好,,3.2,1.1,2,17,15,32,1,40,5,83,51,242,1,17,12
55,臺北市,古亭,2019/12/29,18時,,良好,,2.9,1.1,2,21,18,35,0.4,39,5,83,47,305,1,17,12
56,臺北市,古亭,2019/12/29,17時,,良好,,2.2,0.76,4.2,18,10,31,0.5,34,5,47,16,225,1,16,10
57,臺北市,古亭,2019/12/29,16時,,良好,,2.2,0.62,6.9,16,11,27,0.4,33,5,37,10,125,1,15,10
58,臺北市,古亭,2019/12/29,15時,,良好,,2.4,0.73,5.9,21,15,31,0.7,32,5,44,14,87,1,15,10
59,臺北市,古亭,2019/12/29,14時,,良好,,2.5,0.63,7.4,18,11,29,0.6,30,6,38,10,179,1,14,9
60,臺北市,古亭,2019/12/29,13時,,良好,,3.1,0.63,6.3,16,12,25,0.6,28,7,36,11,227,1,13,9
61,臺北市,古亭,2019/12/29,12時,,良好,,5.2,0.59,4.6,17,12,24,0.6,24,9,40,16,193,1,12,8
62,臺北市,古亭,2019/12/29,11時,,良好,,3.5,0.84,3.6,16,13,26,1,25,13,54,28,261,1,10,6
63,臺北市,古亭,2019/12/29,10時,,良好,,2.8,0.84,3.4,13,8,24,0.5,23,17,50,26,287,0,8,4
64,臺北市,古亭,2019/12/29,09時,,良好,,2.8,0.56,3.7,14,7,22,0.4,21,21,33,10,258,0,7,4
65,臺北市,古亭,2019/12/29,08時,,良好,,1.5,0.49,7.6,7,3,20,1.2,23,25,25,5,239,0,6,3
66,臺北市,古亭,2019/12/29,07時,,良好,,1.2,0.43,9.2,8,3,19,0.7,26,28,24,4,180,0,6,3
67,臺北市,古亭,2019/12/29,06時,,良好,,0.9,0.33,17,5,3,13,0.8,29,31,13,1,211,0,6,3
68,臺北市,古亭,2019/12/29,05時,,良好,,1,0.24,26,5,3,7,0.4,31,33,7,0,178,0,7,3
69,臺北市,古亭,2019/12/29,03時,,良好,,1,0.24,36,6,2,5.1,1,31,33,6,0,61,0,8,4
70,臺北市,古亭,2019/12/29,02時,,良好,,0.9,0.21,37,10,3,4.8,0.9,30,32,5,0,79,0,9,4
71,臺北市,古亭,2019/12/29,01時,,良好,,0.7,0.31,35,13,3,7.8,1.3,29,31,9,1,71,0,8,4
72,臺北市,古亭,2019/12/29,00時,,良好,,1.3,0.3,34,7,3,8.6,0.7,29,31,10,1,63,0,8,4
73,臺北市,古亭,2019/12/28,23時,,良好,,1.2,0.36,29,9,3,14,1.2,29,31,15,1,69,0,10,5
74,臺北市,古亭,2019/12/28,22時,,良好,,1.1,0.32,33,7,3,9.5,1.3,31,33,10,1,30,0,11,6
75,臺北市,古亭,2019/12/28,21時,,良好,,1.3,0.35,30,11,4,12,1.8,31,33,13,1,69,0,11,6
76,臺北市,古亭,2019/12/28,20時,,良好,,1.2,0.34,32,14,7,11,1.4,31,33,12,1,61,0,12,6
77,臺北市,古亭,2019/12/28,19時,,良好,,1.2,0.4,27,8,8,16,1.7,31,33,18,2,65,0,12,6
78,臺北市,古亭,2019/12/28,18時,,良好,,1.2,0.39,28,9,6,14,1.7,31,34,16,1,67,0,13,6
79,臺北市,古亭,2019/12/28,17時,,良好,,1.1,0.31,35,14,5,8.5,1.9,31,34,10,1,74,0,15,6
80,臺北市,古亭,2019/12/28,16時,,良好,,0.9,0.28,38,11,6,6.3,2.2,31,34,7,1,75,0,16,6
81,臺北市,古亭,2019/12/28,15時,,良好,,0.9,0.28,39,11,2,5.7,2.6,31,34,7,2,69,0,17,7
82,臺北市,古亭,2019/12/28,14時,,良好,,1.1,0.33,35,17,5,8.9,2.9,31,34,12,3,88,0,19,7
83,臺北市,古亭,2019/12/28,13時,,良好,,1.4,0.36,32,16,8,12,2,31,34,16,4,62,0,20,8
84,臺北市,古亭,2019/12/28,12時,,良好,,1.3,0.36,32,19,8,12,2.7,32,35,16,4,61,0,21,8
85,臺北市,古亭,2019/12/28,11時,,良好,,1.2,0.34,32,21,5,12,2.3,34,37,15,3,58,0,22,8
86,臺北市,古亭,2019/12/28,10時,,良好,,1.2,0.33,32,18,6,11,2.2,35,38,14,3,58,0,22,9
87,臺北市,古亭,2019/12/28,09時,,良好,,0.9,0.3,34,20,7,8.5,1.9,37,40,10,2,56,0,22,9
88,臺北市,古亭,2019/12/28,08時,,良好,,0.9,0.27,35,23,8,6.9,2,38,41,8,1,79,0,23,10
89,臺北市,古亭,2019/12/28,07時,,良好,,0.9,0.25,36,19,9,5.2,1.8,39,42,6,1,80,0,24,11
